StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume,PriceLag48,PPC,PPCMA_6,PPCMA_12,PPCMA_24,PCMA_6,PCMA_12,PCMA_24,MAD_6,MAD_12,MAD_24,PR_6,PR_12,PR_24,TR_6,ATR_6,TR_12,ATR_12,TR_24,ATR_24,RSI_6,RSI_12,RSI_24,PMOM_6,PMOM_12,PMOM_24,MACD,ADX_6,ADX_12,ADX_24
2024-07-23 12:00:00+00:00,APXMIDP,2024-07-23,27,76.14,2998.3,68.78,10.700785111951147,-0.33527331106395114,3.4312771227249077,20.569721174447817,-0.0033527331106346556,0.03431277122722495,0.2056972117444903,-22710.830304860465,2217.9988531030644,369.15572235650126,100.0,100.0,100.0,19.019999999999996,15.991666666666669,38.0,26.175,38.0,41.380833333333335,-276.5166340508806,157.12589073634206,105.8810942992511,-15.379999999999995,-28.790000000000006,-1.2999999999999972,1.5014583333333462,0.15313155528918188,0.4667405764966741,0.8947569947761398
2024-07-23 12:30:00+00:00,APXMIDP,2024-07-23,28,74.25,2629.05,64.89,14.424410540915394,2.6265523412491913,2.907484218633958,20.049094072651894,0.02626552341249677,0.029074842186315453,0.20049094072653106,2825.899690286503,2552.754188043262,369.3409227915028,100.0,100.0,100.0,15.549999999999997,16.576666666666668,34.95,27.135833333333338,41.89,40.91458333333333,322.22222222222183,177.83171521035604,106.0251150847086,-13.549999999999997,-32.53,-6.75,1.025208333333353,0.1836734693877553,0.39113924050632903,0.8924568905284929
2024-07-23 13:00:00+00:00,APXMIDP,2024-07-23,29,72.13,2950.95,63.22,14.093641252768105,6.679305756017645,3.318414706441169,19.65126808921363,0.0667930575601813,0.03318414706438756,0.19651268089214843,1078.9026520834154,2172.6282647266894,366.05010420974776,100.0,100.0,100.0,17.22,16.310000000000002,34.55,28.063333333333333,43.56,40.517916666666665,128.62246923382293,176.19801980198025,106.16212407520098,-6.820000000000007,-27.710000000000008,-11.600000000000009,0.35625000000000284,0.6359505175460742,0.3962027302683192,0.8902797182857634
2024-07-23 13:30:00+00:00,APXMIDP,2024-07-23,30,72.4,3105.7,63.74,13.586444932538445,10.315764201168617,3.822777125111791,18.65165180422116,0.10315764201169102,0.038227771251093785,0.18651651804222372,700.8384541185499,1892.9110921337974,387.1693737367006,96.7509025270757,98.76430205949653,99.22077922077919,16.699999999999996,16.588333333333335,30.240000000000002,28.631666666666664,43.04,40.099583333333335,100.19521717911175,171.10125646711015,106.46114581234468,-7.079999999999998,-25.36999999999999,-12.209999999999994,-0.3329166666666765,0.9961108410306272,0.41287763198046973,0.8855647415690241
2024-07-23 14:00:00+00:00,APXMIDP,2024-07-23,31,79.99,2986.3,60.44,32.34612839179351,15.72350660974987,6.362009594978955,18.3359497298313,0.15723506609750357,0.06362009594976543,0.1833594972983251,507.72875870066497,1256.3071260873337,435.24683301709,5.415162454873679,60.71964017991006,77.31601731601731,20.0,17.723333333333333,31.700000000000003,29.32166666666667,46.34,39.85875,100.0,142.8698752228164,106.57890237647462,0.3299999999999983,-13.990000000000009,-7.210000000000008,-1.04062500000002,1.0,0.5383877159309021,0.8837216329737406
2024-07-23 14:30:00+00:00,APXMIDP,2024-07-23,32,79.6,3330.4,61.4,29.641693811074916,19.132184006840248,8.598783941632462,18.11580987928956,0.19132184006840736,0.08598783941630049,0.1811580987929077,415.05286658093456,924.7122930444328,438.3952052400117,4.961832061068709,61.47498710675606,78.44155844155844,18.589999999999996,17.846666666666668,30.119999999999997,29.880000000000006,45.38,39.71583333333333,100.0,131.76490011556876,106.67939593820518,-0.8400000000000034,-12.540000000000006,-7.710000000000008,-1.7410416666666606,1.0,0.6115093387178193,0.8821547790402108
2024-07-23 15:00:00+00:00,APXMIDP,2024-07-23,33,75.48,3436.75,68.7,9.868995633187774,18.993552427046353,9.329139557993631,16.617295808450162,0.18993552427046836,0.09329139557991219,0.16617295808451374,396.39801329906254,808.0778311419388,453.2255302551195,57.37913486005078,78.62156987874916,90.3318903318903,11.289999999999992,16.558333333333334,19.099999999999994,29.52,38.08,39.0525,100.0,128.9977392614921,107.1911792188376,-0.6599999999999966,-16.039999999999992,-11.319999999999993,-2.353958333333324,1.0,0.6329295049127158,0.8742606933960724
2024-07-23 15:30:00+00:00,APXMIDP,2024-07-23,34,77.15,3602.5,74.48,3.584854994629433,17.186959835998696,9.906756088626372,15.615105536222357,0.1718695983599918,0.0990675608862396,0.15615105536223567,447.8868347641357,777.7614766108175,493.07286951105897,36.132315521628364,39.59085439229833,85.51226551226549,7.859999999999999,15.276666666666669,8.310000000000002,28.63083333333333,34.650000000000006,38.487500000000004,100.0,122.48126561199,107.62977356545187,2.9000000000000057,-10.649999999999991,-6.209999999999994,-2.6683333333333366,1.0,0.6898334290637564,0.8676070875623603
2024-07-23 16:00:00+00:00,APXMIDP,2024-07-23,35,82.57,3402.4,85.93,-3.9101594320959077,14.186326388521358,10.432816072271931,13.623798875077064,0.14186326388521844,0.10432816072269518,0.13623798875078277,581.0393366023735,790.4449888508194,605.071777461744,0.0,0.0,69.87012987012989,13.530000000000001,14.661666666666669,13.800000000000011,27.46166666666667,34.650000000000006,37.880833333333335,106.40000000000003,113.60535461449352,110.24525137132237,10.439999999999998,3.6199999999999903,-9.960000000000008,-3.0133333333333354,0.8865248226950349,0.786097338864717,0.829940930810038
2024-07-23 16:30:00+00:00,APXMIDP,2024-07-23,36,90.95,3194.25,89.59,1.518026565464895,12.174923327342434,11.245343764257953,11.419591683978787,0.12174923327342918,0.11245343764255543,0.11419591683979997,746.0272917098454,807.7791881391277,795.4382835823232,0.0,0.0,45.68542568542567,15.469999999999999,14.456666666666669,18.820000000000007,26.710833333333337,34.650000000000006,37.05083333333334,107.43362831858411,103.99164539336275,111.90288091852321,18.549999999999997,11.469999999999999,-0.0799999999999983,-3.0449999999999875,0.8705701078582428,0.9260692026649469,0.8077168502999106
2024-07-23 17:00:00+00:00,APXMIDP,2024-07-23,37,95.69,3358.9,97.06,-1.4114980424479748,6.548652254968851,11.13607943236179,9.166475735634345,0.06548652254969337,0.11136079432359376,0.09166475735635556,1460.2166942806778,858.2790719680272,1042.9126525802706,0.0,0.0,32.00577200577201,21.58,14.72,24.930000000000007,26.469166666666666,34.650000000000006,36.39291666666667,119.4810543657332,105.57191659795032,115.43663060278209,15.700000000000003,16.03,-0.6099999999999994,-3.041874999999976,0.7196206283343205,0.8997350291467933,0.764098021848243
2024-07-23 17:30:00+00:00,APXMIDP,2024-07-23,38,96.23,3232.5,101.45,-5.145391818629866,0.7508046500180542,9.941494328431583,7.8047264341696865,0.007508046500185401,0.09941494328429169,0.07804726434170897,12815.915824592154,966.9631333170521,1231.9708262250272,0.0,0.0,30.447330447330433,25.97,15.950000000000003,29.320000000000007,26.153333333333336,34.650000000000006,36.20375000000001,1256.9767441860695,113.64883401920443,122.82965743782263,16.63000000000001,15.790000000000006,-6.589999999999989,-3.207708333333329,0.041425818882465576,0.7855603448275859,0.6865335051546391
2024-07-23 18:00:00+00:00,APXMIDP,2024-07-23,39,103.25,2593.65,113.52,-9.04686398872445,-2.4018386203006497,8.295856903375283,5.863567013046457,-0.024018386203001642,0.08295856903372868,0.05863567013047668,-4299.790065549723,1243.59716702709,1759.8735394384864,0.0,0.0,10.187590187590189,36.36999999999999,20.130000000000003,41.39,26.435833333333335,41.39,36.425000000000004,-24.89190858554663,136.58404197575544,144.36200112422713,27.769999999999996,27.11,-1.6800000000000068,-3.063749999999999,0.6676288659793816,0.5774736182217111,0.529874307499851
2024-07-23 18:30:00+00:00,APXMIDP,2024-07-23,40,103.43,2376.75,109.36,-5.422457937088508,-3.9030574422536404,6.641951196874957,4.774717707750819,-0.03903057442253154,0.06641951196872543,0.0477471770775203,-2650.973809770322,1556.223125166916,2165.201361644384,0.0,0.0,0.0,26.790000000000006,23.285000000000007,37.230000000000004,26.625833333333333,37.230000000000004,36.47291666666667,-5.4860830980234,165.40770385192604,170.1545595054096,26.28,29.180000000000007,-3.3499999999999943,-3.079791666666651,0.901126862958924,0.433246640658864,0.4161306920504244
2024-07-23 19:00:00+00:00,APXMIDP,2024-07-23,41,101.19,2244.45,110.41,-8.350692872022462,-4.643146348908066,4.771590019809076,4.045002363121484,-0.04643146348907579,0.047715900198066624,0.04045002363122695,-2180.341170751759,2119.6767467440563,2500.6054606673333,17.948717948718016,7.218820496293938,7.1565495207668,19.459999999999994,24.273333333333337,38.00999999999999,26.91416666666667,38.28,36.63125,-4.437194127243075,261.8764302059499,215.94479830148634,18.620000000000005,29.060000000000002,1.3499999999999943,-2.8314583333333303,0.9184896613724903,0.2359866076250132,0.3013050153531216
2024-07-23 19:30:00+00:00,APXMIDP,2024-07-23,42,102.2,2374.25,108.81,-6.074809300615751,-5.90861899325484,3.1331521670462266,3.4779646460753706,-0.05908618993254355,0.03133152167043814,0.03477964646076582,-1730.6765981471788,3260.8907270127124,2937.500255179122,15.891472868217088,4.400715563506275,3.929712460063909,13.120000000000005,23.88166666666667,33.33,27.17166666666667,36.68000000000001,36.807500000000005,0.0,737.9939209726485,281.98573127229514,11.25,29.799999999999997,4.430000000000007,-2.5091666666666725,1.0,0.07267506074663094,0.21553049718093265
2024-07-23 20:00:00+00:00,APXMIDP,2024-07-23,43,104.48,2179.1,102.69,1.7431103320673935,-5.382850930835612,0.5829006620690497,3.472455128520364,-0.05382850930835126,0.005829006620666373,0.03472455128521575,-1941.9788853987525,17923.15188371425,3007.822177192054,0.0,0.0,0.0,8.25,21.660000000000007,29.0,26.94666666666667,32.35000000000001,36.803333333333335,-5.047941342357618,-275.4919499105538,281.66172106824934,8.790000000000006,24.49000000000001,10.5,-2.1089583333333195,0.9082991803278686,0.15361363011816478,0.2158319456897656
2024-07-23 20:30:00+00:00,APXMIDP,2024-07-23,44,104.64,1994.3,102.97,1.6218316014373135,-4.254980360824415,-1.7520878554007506,3.423348043112217,-0.042549803608239296,-0.01752087855403163,0.03423348043113428,-2460.2357925651536,-5973.303253932543,3055.65677816484,0.0,0.0,0.0,3.450000000000003,17.90666666666667,29.159999999999997,26.866666666666664,32.510000000000005,36.80583333333334,-12.110605530276544,-51.49765427643439,286.30553864881335,8.409999999999997,25.040000000000006,12.5,-1.6229166666666828,0.8050154973231891,0.4926222222222227,0.21159047005795217
